list,experiment,item,position,order,audioFile,subject,object,verb,sentence
1,order,1,65,SOV,1_order_1_SOV,おじいさんが,お手紙を,書きました,おじいさんがお手紙を書きました。
1,order,2,27,VOS,1_order_2_VOS,おばあさんが,洗濯を,手伝いました,手伝いました、洗濯をおばあさんが。
1,order,3,39,VSO,1_order_3_VSO,いもうとが,牛乳を,溢しました,溢しました、いもうとが牛乳を。
1,order,4,76,OVS,1_order_4_OVS,おとうとが,ぬいぐるみを,しまいました,ぬいぐるみをしまいました、おとうとが。
1,order,5,31,SVO,1_order_5_SVO,お母さんが,天ぷらを,揚げました,お母さんが揚げました、天ぷらを。
1,order,6,41,OSV,1_order_6_OSV,お父さんが,タコ焼きを,食べました,タコ焼きを、お父さんが食べました。
1,order,7,62,SOV,1_order_7_SOV,店員さんが,弁当を,温めました,店員さんが弁当を温めました。
1,order,8,108,VOS,1_order_8_VOS,花屋さんが,ひまわりを,育てました,育てました、ひまわりを花屋さんが。
1,order,9,78,VSO,1_order_9_VSO,お医者さんが,風邪薬を,飲みました,飲みました、お医者さんが風邪薬を。
1,order,10,16,OVS,1_order_10_OVS,本屋さんが,文房具を,並べました,文房具を並べました、本屋さんが。
1,order,11,84,SVO,1_order_11_SVO,お手伝いさんが,雑巾を,絞りました,お手伝いさんが絞りました、雑巾を。
1,order,12,45,OSV,1_order_12_OSV,お巡りさんが,自転車を,止めました,自転車を、お巡りさんが止めました。
1,order,13,36,SOV,1_order_13_SOV,消防士が,階段を,登りました,消防士が階段を登りました。
1,order,14,98,VOS,1_order_14_VOS,会計士が,計算を,正しました,正しました、計算を会計士が。
1,order,15,51,VSO,1_order_15_VSO,弁護士が,冗談を,言いました,言いました、弁護士が冗談を。
1,order,16,103,OVS,1_order_16_OVS,美容師が,髪型を,整えました,髪型を整えました、美容師が。
1,order,17,74,SVO,1_order_17_SVO,獣医師が,捨て犬を,可愛がりました,獣医師が可愛がりました、捨て犬を。
1,order,18,49,OSV,1_order_18_OSV,看護師が,救急箱を,開けました,救急箱を、看護師が開けました。
1,order,19,47,SOV,1_order_19_SOV,政治家が,発表を,行いました,政治家が発表を行いました。
1,order,20,94,VOS,1_order_20_VOS,音楽家が,新曲を,歌いました,歌いました、新曲を音楽家が。
1,order,21,111,VSO,1_order_21_VSO,漫画家が,四コマを,描きました,描きました、漫画家が四コマを。
1,order,22,24,OVS,1_order_22_OVS,専門家が,ご意見を,述べました,ご意見を述べました、専門家が。
1,order,23,101,SVO,1_order_23_SVO,小説家が,下書きを,見直しました,小説家が見直しました、下書きを。
1,order,24,34,OSV,1_order_24_OSV,芸術家が,名作を,売りました,名作を、芸術家が売りました。
1,order,25,96,SOV,1_order_25_SOV,研究者が,問題を,調べました,研究者が問題を調べました。
1,order,26,113,VOS,1_order_26_VOS,科学者が,教科書を,読みました,読みました、教科書を科学者が。
1,order,27,19,VSO,1_order_27_VSO,責任者が,過ちを,認めました,認めました、責任者が過ちを。
1,order,28,86,OVS,1_order_28_OVS,初心者が,練習を,続けました,練習を続けました、初心者が。
1,order,29,12,SVO,1_order_29_SVO,優勝者が,ご褒美を,もらいました,優勝者がもらいました、ご褒美を。
1,order,30,7,OSV,1_order_30_OSV,旅行者が,新幹線を,間違えました,新幹線を、旅行者が間違えました。
1,order,31,43,SOV,1_order_31_SOV,先生が,挨拶を,忘れました,先生が挨拶を忘れました。
1,order,32,56,VOS,1_order_32_VOS,小学生が,ひらがなを,覚えました,覚えました、ひらがなを小学生が。
1,order,33,69,VSO,1_order_33_VSO,高校生が,学校を,休みました,休みました、高校生が学校を。
1,order,34,90,OVS,1_order_34_OVS,転入生が,制服を,買いました,制服を買いました、転入生が。
1,order,35,53,SVO,1_order_35_SVO,留学生が,日本語を,習いました,留学生が習いました、日本語を。
1,order,36,29,OSV,1_order_36_OSV,院生が,論文を,出しました,論文を、院生が出しました。
1,order,37,58,SOV,1_order_37_SOV,外国人が,音楽を,聞きました,外国人が音楽を聞きました。
1,order,38,10,VOS,1_order_38_VOS,料理人が,人参を,切りました,切りました、人参を料理人が。
1,order,39,105,VSO,1_order_39_VSO,配達人が,割れ物を,落としました,落としました、配達人が割れ物を。
1,order,40,60,OVS,1_order_40_OVS,釣り人が,長靴を,履きました,長靴を履きました、釣り人が。
1,order,41,21,SVO,1_order_41_SVO,名人が,能力を,鍛えました,名人が鍛えました、能力を。
1,order,42,71,OSV,1_order_42_OSV,友人が,お土産を,選びました,お土産を、友人が選びました。
2,order,1,63,OSV,2_order_1_OSV,おじいさんが,お手紙を,書きました,お手紙を、おじいさんが書きました。
2,order,2,9,SOV,2_order_2_SOV,おばあさんが,洗濯を,手伝いました,おばあさんが洗濯を手伝いました。
2,order,3,23,VOS,2_order_3_VOS,いもうとが,牛乳を,溢しました,溢しました、牛乳をいもうとが。
2,order,4,57,VSO,2_order_4_VSO,おとうとが,ぬいぐるみを,しまいました,しまいました、おとうとがぬいぐるみを。
2,order,5,88,OVS,2_order_5_OVS,お母さんが,天ぷらを,揚げました,天ぷらを揚げました、お母さんが。
2,order,6,85,SVO,2_order_6_SVO,お父さんが,タコ焼きを,食べました,お父さんが食べました、タコ焼きを。
2,order,7,52,OSV,2_order_7_OSV,店員さんが,弁当を,温めました,弁当を、店員さんが温めました。
2,order,8,101,SOV,2_order_8_SOV,花屋さんが,ひまわりを,育てました,花屋さんがひまわりを育てました。
2,order,9,54,VOS,2_order_9_VOS,お医者さんが,風邪薬を,飲みました,飲みました、風邪薬をお医者さんが。
2,order,10,32,VSO,2_order_10_VSO,本屋さんが,文房具を,並べました,並べました、本屋さんが文房具を。
2,order,11,61,OVS,2_order_11_OVS,お手伝いさんが,雑巾を,絞りました,雑巾を絞りました、お手伝いさんが。
2,order,12,95,SVO,2_order_12_SVO,お巡りさんが,自転車を,止めました,お巡りさんが止めました、自転車を。
2,order,13,20,OSV,2_order_13_OSV,消防士が,階段を,登りました,階段を、消防士が登りました。
2,order,14,59,SOV,2_order_14_SOV,会計士が,計算を,正しました,会計士が計算を正しました。
2,order,15,42,VOS,2_order_15_VOS,弁護士が,冗談を,言いました,言いました、冗談を弁護士が。
2,order,16,112,VSO,2_order_16_VSO,美容師が,髪型を,整えました,整えました、美容師が髪型を。
2,order,17,40,OVS,2_order_17_OVS,獣医師が,捨て犬を,可愛がりました,捨て犬を可愛がりました、獣医師が。
2,order,18,105,SVO,2_order_18_SVO,看護師が,救急箱を,開けました,看護師が開けました、救急箱を。
2,order,19,48,OSV,2_order_19_OSV,政治家が,発表を,行いました,発表を、政治家が行いました。
2,order,20,44,SOV,2_order_20_SOV,音楽家が,新曲を,歌いました,音楽家が新曲を歌いました。
2,order,21,83,VOS,2_order_21_VOS,漫画家が,四コマを,描きました,描きました、四コマを漫画家が。
2,order,22,80,VSO,2_order_22_VSO,専門家が,ご意見を,述べました,述べました、専門家がご意見を。
2,order,23,92,OVS,2_order_23_OVS,小説家が,下書きを,見直しました,下書きを見直しました、小説家が。
2,order,24,18,SVO,2_order_24_SVO,芸術家が,名作を,売りました,芸術家が売りました、名作を。
2,order,25,90,OSV,2_order_25_OSV,研究者が,問題を,調べました,問題を、研究者が調べました。
2,order,26,70,SOV,2_order_26_SOV,科学者が,教科書を,読みました,科学者が教科書を読みました。
2,order,27,99,VOS,2_order_27_VOS,責任者が,過ちを,認めました,認めました、過ちを責任者が。
2,order,28,7,VSO,2_order_28_VSO,初心者が,練習を,続けました,続けました、初心者が練習を。
2,order,29,107,OVS,2_order_29_OVS,優勝者が,ご褒美を,もらいました,ご褒美をもらいました、優勝者が。
2,order,30,109,SVO,2_order_30_SVO,旅行者が,新幹線を,間違えました,旅行者が間違えました、新幹線を。
2,order,31,65,OSV,2_order_31_OSV,先生が,挨拶を,忘れました,挨拶を、先生が忘れました。
2,order,32,25,SOV,2_order_32_SOV,小学生が,ひらがなを,覚えました,小学生がひらがなを覚えました。
2,order,33,50,VOS,2_order_33_VOS,高校生が,学校を,休みました,休みました、学校を高校生が。
2,order,34,103,VSO,2_order_34_VSO,転入生が,制服を,買いました,買いました、転入生が制服を。
2,order,35,76,OVS,2_order_35_OVS,留学生が,日本語を,習いました,日本語を習いました、留学生が。
2,order,36,14,SVO,2_order_36_SVO,院生が,論文を,出しました,院生が出しました、論文を。
2,order,37,78,OSV,2_order_37_OSV,外国人が,音楽を,聞きました,音楽を、外国人が聞きました。
2,order,38,34,SOV,2_order_38_SOV,料理人が,人参を,切りました,料理人が人参を切りました。
2,order,39,74,VOS,2_order_39_VOS,配達人が,割れ物を,落としました,落としました、割れ物を配達人が。
2,order,40,72,VSO,2_order_40_VSO,釣り人が,長靴を,履きました,履きました、釣り人が長靴を。
2,order,41,11,OVS,2_order_41_OVS,名人が,能力を,鍛えました,能力を鍛えました、名人が。
2,order,42,30,SVO,2_order_42_SVO,友人が,お土産を,選びました,友人が選びました、お土産を。
3,order,1,84,SVO,3_order_1_SVO,おじいさんが,お手紙を,書きました,おじいさんが書きました、お手紙を。
3,order,2,72,OSV,3_order_2_OSV,おばあさんが,洗濯を,手伝いました,洗濯を、おばあさんが手伝いました。
3,order,3,100,SOV,3_order_3_SOV,いもうとが,牛乳を,溢しました,いもうとが牛乳を溢しました。
3,order,4,38,VOS,3_order_4_VOS,おとうとが,ぬいぐるみを,しまいました,しまいました、ぬいぐるみをおとうとが。
3,order,5,90,VSO,3_order_5_VSO,お母さんが,天ぷらを,揚げました,揚げました、お母さんが天ぷらを。
3,order,6,28,OVS,3_order_6_OVS,お父さんが,タコ焼きを,食べました,タコ焼きを食べました、お父さんが。
3,order,7,66,SVO,3_order_7_SVO,店員さんが,弁当を,温めました,店員さんが温めました、弁当を。
3,order,8,88,OSV,3_order_8_OSV,花屋さんが,ひまわりを,育てました,ひまわりを、花屋さんが育てました。
3,order,9,26,SOV,3_order_9_SOV,お医者さんが,風邪薬を,飲みました,お医者さんが風邪薬を飲みました。
3,order,10,24,VOS,3_order_10_VOS,本屋さんが,文房具を,並べました,並べました、文房具を本屋さんが。
3,order,11,7,VSO,3_order_11_VSO,お手伝いさんが,雑巾を,絞りました,絞りました、お手伝いさんが雑巾を。
3,order,12,114,OVS,3_order_12_OVS,お巡りさんが,自転車を,止めました,自転車を止めました、お巡りさんが。
3,order,13,109,SVO,3_order_13_SVO,消防士が,階段を,登りました,消防士が登りました、階段を。
3,order,14,22,OSV,3_order_14_OSV,会計士が,計算を,正しました,計算を、会計士が正しました。
3,order,15,31,SOV,3_order_15_SOV,弁護士が,冗談を,言いました,弁護士が冗談を言いました。
3,order,16,17,VOS,3_order_16_VOS,美容師が,髪型を,整えました,整えました、髪型を美容師が。
3,order,17,41,VSO,3_order_17_VSO,獣医師が,捨て犬を,可愛がりました,可愛がりました、獣医師が捨て犬を。
3,order,18,98,OVS,3_order_18_OVS,看護師が,救急箱を,開けました,救急箱を開けました、看護師が。
3,order,19,77,SVO,3_order_19_SVO,政治家が,発表を,行いました,政治家が行いました、発表を。
3,order,20,92,OSV,3_order_20_OSV,音楽家が,新曲を,歌いました,新曲を、音楽家が歌いました。
3,order,21,57,SOV,3_order_21_SOV,漫画家が,四コマを,描きました,漫画家が四コマを描きました。
3,order,22,59,VOS,3_order_22_VOS,専門家が,ご意見を,述べました,述べました、ご意見を専門家が。
3,order,23,111,VSO,3_order_23_VSO,小説家が,下書きを,見直しました,見直しました、小説家が下書きを。
3,order,24,61,OVS,3_order_24_OVS,芸術家が,名作を,売りました,名作を売りました、芸術家が。
3,order,25,96,SVO,3_order_25_SVO,研究者が,問題を,調べました,研究者が調べました、問題を。
3,order,26,79,OSV,3_order_26_OSV,科学者が,教科書を,読みました,教科書を、科学者が読みました。
3,order,27,43,SOV,3_order_27_SOV,責任者が,過ちを,認めました,責任者が過ちを認めました。
3,order,28,30,VOS,3_order_28_VOS,初心者が,練習を,続けました,続けました、練習を初心者が。
3,order,29,75,VSO,3_order_29_VSO,優勝者が,ご褒美を,もらいました,もらいました、優勝者がご褒美を。
3,order,30,10,OVS,3_order_30_OVS,旅行者が,新幹線を,間違えました,新幹線を間違えました、旅行者が。
3,order,31,19,SVO,3_order_31_SVO,先生が,挨拶を,忘れました,先生が忘れました、挨拶を。
3,order,32,14,OSV,3_order_32_OSV,小学生が,ひらがなを,覚えました,ひらがなを、小学生が覚えました。
3,order,33,47,SOV,3_order_33_SOV,高校生が,学校を,休みました,高校生が学校を休みました。
3,order,34,94,VOS,3_order_34_VOS,転入生が,制服を,買いました,買いました、制服を転入生が。
3,order,35,54,VSO,3_order_35_VSO,留学生が,日本語を,習いました,習いました、留学生が日本語を。
3,order,36,104,OVS,3_order_36_OVS,院生が,論文を,出しました,論文を出しました、院生が。
3,order,37,64,SVO,3_order_37_SVO,外国人が,音楽を,聞きました,外国人が聞きました、音楽を。
3,order,38,68,OSV,3_order_38_OSV,料理人が,人参を,切りました,人参を、料理人が切りました。
3,order,39,33,SOV,3_order_39_SOV,配達人が,割れ物を,落としました,配達人が割れ物を落としました。
3,order,40,45,VOS,3_order_40_VOS,釣り人が,長靴を,履きました,履きました、長靴を釣り人が。
3,order,41,107,VSO,3_order_41_VSO,名人が,能力を,鍛えました,鍛えました、名人が能力を。
3,order,42,52,OVS,3_order_42_OVS,友人が,お土産を,選びました,お土産を選びました、友人が。
4,order,1,79,OVS,4_order_1_OVS,おじいさんが,お手紙を,書きました,お手紙を書きました、おじいさんが。
4,order,2,65,SVO,4_order_2_SVO,おばあさんが,洗濯を,手伝いました,おばあさんが手伝いました、洗濯を。
4,order,3,61,OSV,4_order_3_OSV,いもうとが,牛乳を,溢しました,牛乳を、いもうとが溢しました。
4,order,4,41,SOV,4_order_4_SOV,おとうとが,ぬいぐるみを,しまいました,おとうとがぬいぐるみをしまいました。
4,order,5,96,VOS,4_order_5_VOS,お母さんが,天ぷらを,揚げました,揚げました、天ぷらをお母さんが。
4,order,6,50,VSO,4_order_6_VSO,お父さんが,タコ焼きを,食べました,食べました、お父さんがタコ焼きを。
4,order,7,90,OVS,4_order_7_OVS,店員さんが,弁当を,温めました,弁当を温めました、店員さんが。
4,order,8,12,SVO,4_order_8_SVO,花屋さんが,ひまわりを,育てました,花屋さんが育てました、ひまわりを。
4,order,9,47,OSV,4_order_9_OSV,お医者さんが,風邪薬を,飲みました,風邪薬を、お医者さんが飲みました。
4,order,10,39,SOV,4_order_10_SOV,本屋さんが,文房具を,並べました,本屋さんが文房具を並べました。
4,order,11,43,VOS,4_order_11_VOS,お手伝いさんが,雑巾を,絞りました,絞りました、雑巾をお手伝いさんが。
4,order,12,59,VSO,4_order_12_VSO,お巡りさんが,自転車を,止めました,止めました、お巡りさんが自転車を。
4,order,13,94,OVS,4_order_13_OVS,消防士が,階段を,登りました,階段を登りました、消防士が。
4,order,14,16,SVO,4_order_14_SVO,会計士が,計算を,正しました,会計士が正しました、計算を。
4,order,15,109,OSV,4_order_15_OSV,弁護士が,冗談を,言いました,冗談を、弁護士が言いました。
4,order,16,105,SOV,4_order_16_SOV,美容師が,髪型を,整えました,美容師が髪型を整えました。
4,order,17,92,VOS,4_order_17_VOS,獣医師が,捨て犬を,可愛がりました,可愛がりました、捨て犬を獣医師が。
4,order,18,18,VSO,4_order_18_VSO,看護師が,救急箱を,開けました,開けました、看護師が救急箱を。
4,order,19,83,OVS,4_order_19_OVS,政治家が,発表を,行いました,発表を行いました、政治家が。
4,order,20,98,SVO,4_order_20_SVO,音楽家が,新曲を,歌いました,音楽家が歌いました、新曲を。
4,order,21,72,OSV,4_order_21_OSV,漫画家が,四コマを,描きました,四コマを、漫画家が描きました。
4,order,22,9,SOV,4_order_22_SOV,専門家が,ご意見を,述べました,専門家がご意見を述べました。
4,order,23,22,VOS,4_order_23_VOS,小説家が,下書きを,見直しました,見直しました、下書きを小説家が。
4,order,24,54,VSO,4_order_24_VSO,芸術家が,名作を,売りました,売りました、芸術家が名作を。
4,order,25,56,OVS,4_order_25_OVS,研究者が,問題を,調べました,問題を調べました、研究者が。
4,order,26,69,SVO,4_order_26_SVO,科学者が,教科書を,読みました,科学者が読みました、教科書を。
4,order,27,85,OSV,4_order_27_OSV,責任者が,過ちを,認めました,過ちを、責任者が認めました。
4,order,28,35,SOV,4_order_28_SOV,初心者が,練習を,続けました,初心者が練習を続けました。
4,order,29,20,VOS,4_order_29_VOS,優勝者が,ご褒美を,もらいました,もらいました、ご褒美を優勝者が。
4,order,30,37,VSO,4_order_30_VSO,旅行者が,新幹線を,間違えました,間違えました、旅行者が新幹線を。
4,order,31,25,OVS,4_order_31_OVS,先生が,挨拶を,忘れました,挨拶を忘れました、先生が。
4,order,32,32,SVO,4_order_32_SVO,小学生が,ひらがなを,覚えました,小学生が覚えました、ひらがなを。
4,order,33,114,OSV,4_order_33_OSV,高校生が,学校を,休みました,学校を、高校生が休みました。
4,order,34,45,SOV,4_order_34_SOV,転入生が,制服を,買いました,転入生が制服を買いました。
4,order,35,103,VOS,4_order_35_VOS,留学生が,日本語を,習いました,習いました、日本語を留学生が。
4,order,36,77,VSO,4_order_36_VSO,院生が,論文を,出しました,出しました、院生が論文を。
4,order,37,81,OVS,4_order_37_OVS,外国人が,音楽を,聞きました,音楽を聞きました、外国人が。
4,order,38,7,SVO,4_order_38_SVO,料理人が,人参を,切りました,料理人が切りました、人参を。
4,order,39,101,OSV,4_order_39_OSV,配達人が,割れ物を,落としました,割れ物を、配達人が落としました。
4,order,40,87,SOV,4_order_40_SOV,釣り人が,長靴を,履きました,釣り人が長靴を履きました。
4,order,41,30,VOS,4_order_41_VOS,名人が,能力を,鍛えました,鍛えました、能力を名人が。
4,order,42,27,VSO,4_order_42_VSO,友人が,お土産を,選びました,選びました、友人がお土産を。
5,order,1,98,VSO,5_order_1_VSO,おじいさんが,お手紙を,書きました,書きました、おじいさんがお手紙を。
5,order,2,69,OVS,5_order_2_OVS,おばあさんが,洗濯を,手伝いました,洗濯を手伝いました、おばあさんが。
5,order,3,40,SVO,5_order_3_SVO,いもうとが,牛乳を,溢しました,いもうとが溢しました、牛乳を。
5,order,4,62,OSV,5_order_4_OSV,おとうとが,ぬいぐるみを,しまいました,ぬいぐるみを、おとうとがしまいました。
5,order,5,36,SOV,5_order_5_SOV,お母さんが,天ぷらを,揚げました,お母さんが天ぷらを揚げました。
5,order,6,75,VOS,5_order_6_VOS,お父さんが,タコ焼きを,食べました,食べました、タコ焼きをお父さんが。
5,order,7,90,VSO,5_order_7_VSO,店員さんが,弁当を,温めました,温めました、店員さんが弁当を。
5,order,8,65,OVS,5_order_8_OVS,花屋さんが,ひまわりを,育てました,ひまわりを育てました、花屋さんが。
5,order,9,71,SVO,5_order_9_SVO,お医者さんが,風邪薬を,飲みました,お医者さんが飲みました、風邪薬を。
5,order,10,100,OSV,5_order_10_OSV,本屋さんが,文房具を,並べました,文房具を、本屋さんが並べました。
5,order,11,102,SOV,5_order_11_SOV,お手伝いさんが,雑巾を,絞りました,お手伝いさんが雑巾を絞りました。
5,order,12,60,VOS,5_order_12_VOS,お巡りさんが,自転車を,止めました,止めました、自転車をお巡りさんが。
5,order,13,81,VSO,5_order_13_VSO,消防士が,階段を,登りました,登りました、消防士が階段を。
5,order,14,96,OVS,5_order_14_OVS,会計士が,計算を,正しました,計算を正しました、会計士が。
5,order,15,67,SVO,5_order_15_SVO,弁護士が,冗談を,言いました,弁護士が言いました、冗談を。
5,order,16,87,OSV,5_order_16_OSV,美容師が,髪型を,整えました,髪型を、美容師が整えました。
5,order,17,19,SOV,5_order_17_SOV,獣医師が,捨て犬を,可愛がりました,獣医師が捨て犬を可愛がりました。
5,order,18,43,VOS,5_order_18_VOS,看護師が,救急箱を,開けました,開けました、救急箱を看護師が。
5,order,19,94,VSO,5_order_19_VSO,政治家が,発表を,行いました,行いました、政治家が発表を。
5,order,20,12,OVS,5_order_20_OVS,音楽家が,新曲を,歌いました,新曲を歌いました、音楽家が。
5,order,21,85,SVO,5_order_21_SVO,漫画家が,四コマを,描きました,漫画家が描きました、四コマを。
5,order,22,10,OSV,5_order_22_OSV,専門家が,ご意見を,述べました,ご意見を、専門家が述べました。
5,order,23,83,SOV,5_order_23_SOV,小説家が,下書きを,見直しました,小説家が下書きを見直しました。
5,order,24,92,VOS,5_order_24_VOS,芸術家が,名作を,売りました,売りました、名作を芸術家が。
5,order,25,112,VSO,5_order_25_VSO,研究者が,問題を,調べました,調べました、研究者が問題を。
5,order,26,55,OVS,5_order_26_OVS,科学者が,教科書を,読みました,教科書を読みました、科学者が。
5,order,27,47,SVO,5_order_27_SVO,責任者が,過ちを,認めました,責任者が認めました、過ちを。
5,order,28,109,OSV,5_order_28_OSV,初心者が,練習を,続けました,練習を、初心者が続けました。
5,order,29,26,SOV,5_order_29_SOV,優勝者が,ご褒美を,もらいました,優勝者がご褒美をもらいました。
5,order,30,38,VOS,5_order_30_VOS,旅行者が,新幹線を,間違えました,間違えました、新幹線を旅行者が。
5,order,31,52,VSO,5_order_31_VSO,先生が,挨拶を,忘れました,忘れました、先生が挨拶を。
5,order,32,73,OVS,5_order_32_OVS,小学生が,ひらがなを,覚えました,ひらがなを覚えました、小学生が。
5,order,33,30,SVO,5_order_33_SVO,高校生が,学校を,休みました,高校生が休みました、学校を。
5,order,34,34,OSV,5_order_34_OSV,転入生が,制服を,買いました,制服を、転入生が買いました。
5,order,35,107,SOV,5_order_35_SOV,留学生が,日本語を,習いました,留学生が日本語を習いました。
5,order,36,79,VOS,5_order_36_VOS,院生が,論文を,出しました,出しました、論文を院生が。
5,order,37,21,VSO,5_order_37_VSO,外国人が,音楽を,聞きました,聞きました、外国人が音楽を。
5,order,38,77,OVS,5_order_38_OVS,料理人が,人参を,切りました,人参を切りました、料理人が。
5,order,39,28,SVO,5_order_39_SVO,配達人が,割れ物を,落としました,配達人が落としました、割れ物を。
5,order,40,45,OSV,5_order_40_OSV,釣り人が,長靴を,履きました,長靴を、釣り人が履きました。
5,order,41,105,SOV,5_order_41_SOV,名人が,能力を,鍛えました,名人が能力を鍛えました。
5,order,42,7,VOS,5_order_42_VOS,友人が,お土産を,選びました,選びました、お土産を友人が。
6,order,1,14,VOS,6_order_1_VOS,おじいさんが,お手紙を,書きました,書きました、お手紙をおじいさんが。
6,order,2,65,VSO,6_order_2_VSO,おばあさんが,洗濯を,手伝いました,手伝いました、おばあさんが洗濯を。
6,order,3,73,OVS,6_order_3_OVS,いもうとが,牛乳を,溢しました,牛乳を溢しました、いもうとが。
6,order,4,75,SVO,6_order_4_SVO,おとうとが,ぬいぐるみを,しまいました,おとうとがしまいました、ぬいぐるみを。
6,order,5,93,OSV,6_order_5_OSV,お母さんが,天ぷらを,揚げました,天ぷらを、お母さんが揚げました。
6,order,6,96,SOV,6_order_6_SOV,お父さんが,タコ焼きを,食べました,お父さんがタコ焼きを食べました。
6,order,7,70,VOS,6_order_7_VOS,店員さんが,弁当を,温めました,温めました、弁当を店員さんが。
6,order,8,68,VSO,6_order_8_VSO,花屋さんが,ひまわりを,育てました,育てました、花屋さんがひまわりを。
6,order,9,25,OVS,6_order_9_OVS,お医者さんが,風邪薬を,飲みました,風邪薬を飲みました、お医者さんが。
6,order,10,112,SVO,6_order_10_SVO,本屋さんが,文房具を,並べました,本屋さんが並べました、文房具を。
6,order,11,28,OSV,6_order_11_OSV,お手伝いさんが,雑巾を,絞りました,雑巾を、お手伝いさんが絞りました。
6,order,12,37,SOV,6_order_12_SOV,お巡りさんが,自転車を,止めました,お巡りさんが自転車を止めました。
6,order,13,12,VOS,6_order_13_VOS,消防士が,階段を,登りました,登りました、階段を消防士が。
6,order,14,50,VSO,6_order_14_VSO,会計士が,計算を,正しました,正しました、会計士が計算を。
6,order,15,10,OVS,6_order_15_OVS,弁護士が,冗談を,言いました,冗談を言いました、弁護士が。
6,order,16,79,SVO,6_order_16_SVO,美容師が,髪型を,整えました,美容師が整えました、髪型を。
6,order,17,77,OSV,6_order_17_OSV,獣医師が,捨て犬を,可愛がりました,捨て犬を、獣医師が可愛がりました。
6,order,18,7,SOV,6_order_18_SOV,看護師が,救急箱を,開けました,看護師が救急箱を開けました。
6,order,19,48,VOS,6_order_19_VOS,政治家が,発表を,行いました,行いました、発表を政治家が。
6,order,20,82,VSO,6_order_20_VSO,音楽家が,新曲を,歌いました,歌いました、音楽家が新曲を。
6,order,21,19,OVS,6_order_21_OVS,漫画家が,四コマを,描きました,四コマを描きました、漫画家が。
6,order,22,84,SVO,6_order_22_SVO,専門家が,ご意見を,述べました,専門家が述べました、ご意見を。
6,order,23,33,OSV,6_order_23_OSV,小説家が,下書きを,見直しました,下書きを、小説家が見直しました。
6,order,24,87,SOV,6_order_24_SOV,芸術家が,名作を,売りました,芸術家が名作を売りました。
6,order,25,35,VOS,6_order_25_VOS,研究者が,問題を,調べました,調べました、問題を研究者が。
6,order,26,100,VSO,6_order_26_VSO,科学者が,教科書を,読みました,読みました、科学者が教科書を。
6,order,27,23,OVS,6_order_27_OVS,責任者が,過ちを,認めました,過ちを認めました、責任者が。
6,order,28,61,SVO,6_order_28_SVO,初心者が,練習を,続けました,初心者が続けました、練習を。
6,order,29,89,OSV,6_order_29_OSV,優勝者が,ご褒美を,もらいました,ご褒美を、優勝者がもらいました。
6,order,30,30,SOV,6_order_30_SOV,旅行者が,新幹線を,間違えました,旅行者が新幹線を間違えました。
6,order,31,39,VOS,6_order_31_VOS,先生が,挨拶を,忘れました,忘れました、挨拶を先生が。
6,order,32,106,VSO,6_order_32_VSO,小学生が,ひらがなを,覚えました,覚えました、小学生がひらがなを。
6,order,33,114,OVS,6_order_33_OVS,高校生が,学校を,休みました,学校を休みました、高校生が。
6,order,34,63,SVO,6_order_34_SVO,転入生が,制服を,買いました,転入生が買いました、制服を。
6,order,35,58,OSV,6_order_35_OSV,留学生が,日本語を,習いました,日本語を、留学生が習いました。
6,order,36,55,SOV,6_order_36_SOV,院生が,論文を,出しました,院生が論文を出しました。
6,order,37,41,VOS,6_order_37_VOS,外国人が,音楽を,聞きました,聞きました、音楽を外国人が。
6,order,38,46,VSO,6_order_38_VSO,料理人が,人参を,切りました,切りました、料理人が人参を。
6,order,39,109,OVS,6_order_39_OVS,配達人が,割れ物を,落としました,割れ物を落としました、配達人が。
6,order,40,21,SVO,6_order_40_SVO,釣り人が,長靴を,履きました,釣り人が履きました、長靴を。
6,order,41,53,OSV,6_order_41_OSV,名人が,能力を,鍛えました,能力を、名人が鍛えました。
6,order,42,102,SOV,6_order_42_SOV,友人が,お土産を,選びました,友人がお土産を選びました。