experiment,item,grammatical,type,audio,sentence,nounTopicSource,base
filler,1,ng,intransitive,filler_1_ng_intransitive,お兄さんが扉を閉まりましたか。,お兄さん,Order
filler,2,g,intransitive,filler_2_g_intransitive,お姉さんが公園に行ったらしいです。,お姉さん,Order
filler,3,m,implausible,filler_3_m_implausible,店長が最近、卵の給料を上げたようです。,お店,Order
filler,4,g,transitive,filler_4_g_transitive,国会議員が首相を厳しく批判しました。,政治,Order
filler,5,ng,intransitive,filler_5_ng_intransitive,お隣さんが、近所のおばさんが猫を見つかるところを見たそうです。,おばさん,Island
filler,6,m,implausible,filler_6_m_implausible,母が、見知らぬ鶏が公園で近づいてきて、何が起こるかちょっと不安だったと父に伝えました。,おじさん,Island
filler,7,ng,salad,filler_7_ng_salad,ある新入りの社員が、社長によると、書類を計画を眠るとのもので会社があまり良くなかったそうです。,会社,Island
filler,8,g,scrambled,filler_8_g_scrambled,尊敬されていた教授の研究がただのお金の無駄使いだと記者に訴えました、その研究所の元助手が。,研究,Island
filler,9,m,implausible,filler_9_m_implausible,歯医者さんが毎朝自分の歯を磨くのを怠りました。,歯医者さん,Order
filler,10,g,intransitive,filler_10_g_intransitive,旅行にお嫁さんが出かけました。,お嬢さん,Order
filler,11,ng,salad,filler_11_ng_salad,祖母が分けて食べて林檎とですか。,祖母,Order
filler,12,g,csc,filler_12_g_csc,どの球団が成功して豊田の球団が失敗しましたか。,kubotaLee2015,Order
filler,13,ng,transitive,filler_13_ng_transitive,肉屋さんが間違ってしょうがに注文したことを昨日友達から聞きました。,肉屋さん,Island
filler,14,g,transitive,filler_14_g_transitive,誰がお坊さんが早く仕事を終えたと言いましたか。,お坊さん,Island
filler,15,m,implausible,filler_15_m_implausible,ある左翼の候補者が、記者によると、もうすぐ右翼の候補者と結婚するそうです。,政治,Island
filler,16,g,scrambled,filler_16_g_scrambled,新種の害虫を農水省はある農学者が駆除する農薬を開発したと発表したとのことです。,omakiEtAl2019,Island
filler,17,ng,transitive,filler_17_ng_transitive,宇宙飛行士が野菜に食べました。,宇宙飛行士,Order
filler,18,g,intransitive,filler_18_g_intransitive,彼が上司に叱られました。,彼,Order
filler,19,ng,salad,filler_19_ng_salad,お腹を壊したことが部長を怒らせたラーメンを食べて選手が謝りました。,スポーツ,Order
filler,20,g,csc,filler_20_g_csc,有権者はどの政策を支持して投票したのですか。,kubotaLee2015,Order
filler,21,m,implausible,filler_21_m_implausible,他の人の薬を、薬剤師から聞いた話によると、ある患者が間違って飲んだお陰で回復したようです。,薬剤師,Island
filler,22,g,transitive,filler_22_g_transitive,飛行機を、助手が、昨日飛行士が飛ばしたと叫びました。,飛行士,Island
filler,23,ng,salad,filler_23_ng_salad,忍者や侍に関する本が、彼女は大好きな本でしょう。,彼女,Island
filler,24,m,implausible,filler_24_m_implausible,その会報によって、小学生が書いた論文が一流の学術誌で掲載されるらしい。,研究,Island
filler,25,ng,intransitive,filler_25_ng_intransitive,芸能人が電車をゆっくりと倒れました。,芸能人,Order
filler,26,g,transitive,filler_26_g_transitive,写真家が大統領を撮りました、密かに。,写真家,Order
filler,27,m,implausible,filler_27_m_implausible,栄養士が唐揚げを何皿もガツガツと食べました。,栄養士,Order
filler,28,g,transitive,filler_28_g_transitive,どの建物を増築しましたか、あの建築家が？,建築家,Order
filler,29,ng,csc,filler_29_ng_csc,甘くておいしいりんごと食いしん坊の太った小学生の男の子が、酸っぱくて大きなみかんを、先生の前で同時に口にほおばったらしいです。,omakiEtAl2019,Island
filler,30,g,csc,filler_30_g_csc,今から来年を考えるなんて、豆をまいて追い払った鬼に笑われているでしょう。,kubotaLee2015,Island
filler,31,ng,salad,filler_31_ng_salad,すごく物を生み出しました発明家が、報告により、去年にだとのことです。,発明家,Island
filler,32,g,scrambled,filler_32_g_scrambled,保母が園児と一緒に楽しく遊んでいる様子を、園長先生は幸せそうに眺めていました。,omakiEtAl2019,Island
filler,33,ng,intransitive,filler_33_ng_intransitive,関係者が警察を逃げて行きました。,関係者,Order
filler,34,g,intransitive,filler_34_g_intransitive,婚約者が帰りました、両親と。,婚約者,Order
filler,35,ng,salad,filler_35_ng_salad,どの子供があのハサミをくしゃみ出ましたか。,子供,Order
filler,36,m,implausible,filler_36_m_implausible,少女が小説を丁寧に黒板に書きました。,少女,Order
filler,37,ng,csc,filler_37_ng_csc,彼は最近、黒くて速く走れる運動靴を買いました。,kubotaLee2015,Island
filler,38,g,intransitive,filler_38_g_intransitive,誰が不当な扱いを受けた参加者に誤ったのですか。,参加者,Island
filler,39,ng,salad,filler_39_ng_salad,先生が文房具を走り、保護者に投げたらしい。,保護者,Island
filler,40,g,scrambled,filler_40_g_scrambled,そのとても評判のよい蕎麦屋をとある経営者が新しく買い取ったとのことです。,omakiEtAl2019,Island
filler,41,ng,transitive,filler_41_ng_transitive,その教授が大学生たちはその政治学の本を強く走ったと思ったとのことです。,大学生,Order
filler,42,g,transitive,filler_42_g_transitive,達人が上手に太鼓を叩きました。,達人,Order
filler,43,ng,salad,filler_43_ng_salad,母親は息子が同級生の夏休みの課題を早々に終わらせた教科書を買ったようです。,同級生,Order
filler,44,g,csc,filler_44_g_csc,彼女がどの薬を飲んで治りましたか。,kubotaLee2015,Order
filler,45,ng,intransitive,filler_45_ng_intransitive,交通事故が原因で多くの中学生が交差点を救われました。,中学生,Island
filler,46,g,intransitive,filler_46_g_intransitive,期末試験の成績が良くなかった優等生が凹んでしまったと聞きました。,優等生,Island
filler,47,ng,salad,filler_47_ng_salad,誰が近くで起きた事故がもたらした計画に泳ごうとした学生が不幸になったと主張されたのですか。,事故,Island
filler,48,g,scrambled,filler_48_g_scrambled,とある学者が書いた難解な論文をその先生は弁論部の中学生がたったの一日読んでしまったと言いました。,omakiEtAl2019,Island