list,position,experiment,item,condition,subcondition,audio
1,1,filler,18,g,intransitive,filler_18_g_intransitive
1,2,filler,31,ng,salad,filler_31_ng_salad
1,3,filler,40,g,scrambled,filler_40_g_scrambled
1,4,filler,9,m,implausible,filler_9_m_implausible
1,5,filler,36,m,implausible,filler_36_m_implausible
1,6,filler,11,ng,salad,filler_11_ng_salad
1,7,order,30,OSV,NA,1_order_30_OSV
1,8,filler,19,ng,salad,filler_19_ng_salad
1,9,island,14,experiencer,situ,1_island_14_experiencer_situ
1,10,order,38,VOS,NA,1_order_38_VOS
1,11,filler,30,g,csc,filler_30_g_csc
1,12,order,29,SVO,NA,1_order_29_SVO
1,13,filler,47,ng,salad,filler_47_ng_salad
1,14,island,17,causative,situ,1_island_17_causative_situ
1,15,filler,27,m,implausible,filler_27_m_implausible
1,16,order,10,OVS,NA,1_order_10_OVS
1,17,island,9,experiencer,rel,1_island_9_experiencer_rel
1,18,filler,26,g,transitive,filler_26_g_transitive
1,19,order,27,VSO,NA,1_order_27_VSO
1,20,filler,35,ng,salad,filler_35_ng_salad
1,21,order,41,SVO,NA,1_order_41_SVO
1,22,island,13,causative,main,1_island_13_causative_main
1,23,filler,37,ng,csc,filler_37_ng_csc
1,24,order,22,OVS,NA,1_order_22_OVS
1,25,island,25,experiencer,situ,1_island_25_experiencer_situ
1,26,filler,16,g,scrambled,filler_16_g_scrambled
1,27,order,2,VOS,NA,1_order_2_VOS
1,28,filler,6,m,implausible,filler_6_m_implausible
1,29,order,36,OSV,NA,1_order_36_OSV
1,30,filler,25,ng,intransitive,filler_25_ng_intransitive
1,31,order,5,SVO,NA,1_order_5_SVO
1,32,island,4,experiencer,main,1_island_4_experiencer_main
1,33,filler,28,g,transitive,filler_28_g_transitive
1,34,order,24,OSV,NA,1_order_24_OSV
1,35,filler,38,g,intransitive,filler_38_g_intransitive
1,36,order,13,SOV,NA,1_order_13_SOV
1,37,filler,2,g,intransitive,filler_2_g_intransitive
1,38,island,11,causative,situ,1_island_11_causative_situ
1,39,order,3,VSO,NA,1_order_3_VSO
1,40,filler,48,g,scrambled,filler_48_g_scrambled
1,41,order,6,OSV,NA,1_order_6_OSV
1,42,filler,13,ng,transitive,filler_13_ng_transitive
1,43,order,31,SOV,NA,1_order_31_SOV
1,44,island,8,experiencer,situ,1_island_8_experiencer_situ
1,45,order,12,OSV,NA,1_order_12_OSV
1,46,filler,24,m,implausible,filler_24_m_implausible
1,47,order,19,SOV,NA,1_order_19_SOV
1,48,island,7,causative,main,1_island_7_causative_main
1,49,order,18,OSV,NA,1_order_18_OSV
1,50,filler,14,g,transitive,filler_14_g_transitive
1,51,order,15,VSO,NA,1_order_15_VSO
1,52,island,10,experiencer,main,1_island_10_experiencer_main
1,53,order,35,SVO,NA,1_order_35_SVO
1,54,filler,29,ng,csc,filler_29_ng_csc
1,55,island,32,causative,rel,1_island_32_causative_rel
1,56,order,32,VOS,NA,1_order_32_VOS
1,57,filler,5,ng,intransitive,filler_5_ng_intransitive
1,58,order,37,SOV,NA,1_order_37_SOV
1,59,filler,20,g,csc,filler_20_g_csc
1,60,order,40,OVS,NA,1_order_40_OVS
1,61,filler,4,g,transitive,filler_4_g_transitive
1,62,order,7,SOV,NA,1_order_7_SOV
1,63,island,29,causative,situ,1_island_29_causative_situ
1,64,filler,3,m,implausible,filler_3_m_implausible
1,65,order,1,SOV,NA,1_order_1_SOV
1,66,island,15,experiencer,rel,1_island_15_experiencer_rel
1,67,filler,33,ng,intransitive,filler_33_ng_intransitive
1,68,island,5,causative,situ,1_island_5_causative_situ
1,69,order,33,VSO,NA,1_order_33_VSO
1,70,filler,39,ng,salad,filler_39_ng_salad
1,71,order,42,OSV,NA,1_order_42_OSV
1,72,filler,1,ng,intransitive,filler_1_ng_intransitive
1,73,island,12,causative,rel,1_island_12_causative_rel
1,74,order,17,SVO,NA,1_order_17_SVO
1,75,filler,34,g,intransitive,filler_34_g_intransitive
1,76,order,4,OVS,NA,1_order_4_OVS
1,77,island,3,experiencer,rel,1_island_3_experiencer_rel
1,78,order,9,VSO,NA,1_order_9_VSO
1,79,filler,12,g,csc,filler_12_g_csc
1,80,island,2,experiencer,situ,1_island_2_experiencer_situ
1,81,filler,17,ng,transitive,filler_17_ng_transitive
1,82,island,1,causative,main,1_island_1_causative_main
1,83,filler,32,g,scrambled,filler_32_g_scrambled
1,84,order,11,SVO,NA,1_order_11_SVO
1,85,filler,42,g,transitive,filler_42_g_transitive
1,86,order,28,OVS,NA,1_order_28_OVS
1,87,island,27,experiencer,main,1_island_27_experiencer_main
1,88,filler,10,g,intransitive,filler_10_g_intransitive
1,89,island,20,causative,rel,1_island_20_causative_rel
1,90,order,34,OVS,NA,1_order_34_OVS
1,91,filler,46,g,intransitive,filler_46_g_intransitive
1,92,island,23,causative,main,1_island_23_causative_main
1,93,filler,45,ng,intransitive,filler_45_ng_intransitive
1,94,order,20,VOS,NA,1_order_20_VOS
1,95,filler,41,ng,transitive,filler_41_ng_transitive
1,96,order,25,SOV,NA,1_order_25_SOV
1,97,filler,8,g,scrambled,filler_8_g_scrambled
1,98,order,14,VOS,NA,1_order_14_VOS
1,99,island,16,experiencer,main,1_island_16_experiencer_main
1,100,filler,44,g,csc,filler_44_g_csc
1,101,order,23,SVO,NA,1_order_23_SVO
1,102,filler,7,ng,salad,filler_7_ng_salad
1,103,order,16,OVS,NA,1_order_16_OVS
1,104,filler,22,g,transitive,filler_22_g_transitive
1,105,order,39,VSO,NA,1_order_39_VSO
1,106,island,6,causative,rel,1_island_6_causative_rel
1,107,filler,15,m,implausible,filler_15_m_implausible
1,108,order,8,VOS,NA,1_order_8_VOS
1,109,filler,23,ng,salad,filler_23_ng_salad
1,110,island,26,experiencer,rel,1_island_26_experiencer_rel
1,111,order,21,VSO,NA,1_order_21_VSO
1,112,filler,21,m,implausible,filler_21_m_implausible
1,113,order,26,VOS,NA,1_order_26_VOS
1,114,filler,43,ng,salad,filler_43_ng_salad